Filter,Frequency (Hz),Joe Z-Score Closed,Joe Z-Score Open,Mohammed Z-Score Closed,Mohammed Z-Score Open,Absolute Delta Closed,Absolute Delta Open,P-Value Closed,P-Value Open,Higher Closed,Higher Open
No Filter,5.5,0.5230416005136682,0.7595465536173519,0.7066091225151319,0.9182883640294699,0.7034616500969868,3.8419080242590695,0.8396609958048593,0.09071199756428111,Mohammed,Joe
No Filter,6.0,0.5111676668442142,0.6337172042859145,0.417037909733336,0.7778116434196025,2.042279729999958,3.62990872704596,0.8396609958048593,0.09071199756428111,Joe,Joe
No Filter,6.5,0.4043819947153344,0.5778865855033759,0.23813270723736552,0.6044836653575949,2.611093305837585,4.508922610376084,0.8396609958048593,0.09071199756428111,Joe,Joe
No Filter,7.0,0.25241247025123653,0.44203737502839485,0.10734969036164502,0.45196937280751304,2.18892978894657,4.2875049858479795,0.8396609958048593,0.09071199756428111,Joe,Joe
No Filter,7.5,0.26017324540095116,0.3551101252214537,0.6131604884799924,0.23760203021285758,2.754387052913252,5.169556948638803,0.8396609958048593,0.09071199756428111,Mohammed,Joe
No Filter,8.0,0.18395771058464314,0.26949617386804287,0.5095539056323676,0.12491412479076024,2.5879592430337937,5.175291576429386,0.8396609958048593,0.09071199756428111,Mohammed,Joe
No Filter,8.5,0.21532590399215687,0.14488582323958027,0.11044234178418702,0.08311933591093121,1.7376712467999909,4.112171089581606,0.8396609958048593,0.09071199756428111,Joe,Joe
No Filter,9.0,0.09759285904590051,-0.010515235392389998,0.06196147293383763,0.017798041678042324,0.8850275422698157,2.902069899544527,0.8396609958048593,0.09071199756428111,Joe,Joe
No Filter,9.5,-0.025803314448239006,-0.11357053602932367,0.1321005294325371,0.12495541026234627,1.2117407973222463,0.7804224237957289,0.8396609958048593,0.09071199756428111,Mohammed,Joe
No Filter,10.0,-0.12008949596727317,-0.21676910058725227,0.16219837696237066,0.11182705845757127,2.580162746825696,0.28837126482457354,0.8396609958048593,0.09071199756428111,Mohammed,Mohammed
No Filter,10.5,-0.19657566844979862,-0.2553389775930527,0.14670169632227045,0.16579333695508539,3.293234471958372,1.2039424649259383,0.8396609958048593,0.09071199756428111,Mohammed,Mohammed
No Filter,11.0,-0.2992015067808478,-0.27548192344370503,0.0717737289402511,0.22270725690808627,3.7115194258561743,1.9339623559096264,0.8396609958048593,0.09071199756428111,Mohammed,Mohammed
No Filter,11.5,-0.365316406417339,-0.40062131585629407,0.009771922072570868,0.2465614299326875,3.8444118802823324,3.578670426301869,0.8396609958048593,0.09071199756428111,Mohammed,Mohammed
No Filter,12.0,-0.4636286418971353,-0.4240031142781371,-0.044629466471914785,0.11044292897065591,4.417966525422894,2.6536073195119396,0.8396609958048593,0.09071199756428111,Mohammed,Mohammed
No Filter,12.5,-0.46926154319809776,-0.4425702808039556,-0.2896877307202597,-0.25137114281245004,2.04423411055464,0.30527254864814424,0.8396609958048593,0.09071199756428111,Mohammed,Joe
No Filter,13.0,-0.4833241903176306,-0.3971990485743183,-0.29808326128667095,-0.3508530846386947,2.1201690712125214,1.697886094832786,0.8396609958048593,0.09071199756428111,Mohammed,Joe
No Filter,13.5,-0.40323694607594984,-0.4035443966583027,-0.27974319997533603,-0.42717065324421505,1.3945507452517214,2.294138741345046,0.8396609958048593,0.09071199756428111,Mohammed,Joe
No Filter,14.0,-0.33611902884255584,-0.4475929342787437,-0.41332322644862474,-0.5738489152804953,0.6951706117688667,3.074688099991489,0.8396609958048593,0.09071199756428111,Joe,Joe
No Filter,14.5,-0.39074291436370817,-0.42810524709070263,-0.39494045359834024,-0.6744448423050804,0.10702117030067626,4.1801337872833715,0.8396609958048593,0.09071199756428111,Mohammed,Joe
No Filter,15.0,-0.4338340872647844,-0.3298547830437784,-0.520481249233185,-0.7427446959103496,0.6531582057461023,5.906012152204843,0.8396609958048593,0.09071199756428111,Joe,Joe
No Filter,15.5,-0.41394363952973384,-0.4189256993657138,-0.7035184688037799,-0.6745866206753898,2.6993555352705263,4.286683657046405,0.8396609958048593,0.09071199756428111,Joe,Joe
