Frequency (Hz),Joe Z-Score Closed,Joe Z-Score Open,Mohammed Z-Score Closed,Mohammed Z-Score Open,Absolute Delta Closed,Absolute Delta Open,Higher Closed,Higher Open
15.5,-0.2691960265719667,-0.4228233077924772,-0.5141537253921811,-0.3370346304996177,4.566216492939071,1.575907729263928,Joe,Joe
16.0,-0.40118578539617905,-0.4975675413945179,-0.5355719779995989,-0.4056520581589855,3.6060263275192006,1.4420605558286936,Joe,Joe
16.5,-0.46632110782087965,-0.542464173193431,-0.5066173716571301,-0.5289936400595807,2.7557324640985623,2.1857658782534974,Joe,Joe
17.0,-0.38208058477030965,-0.5482628143425803,-0.4635936440472466,-0.5888795958162634,3.088976740090086,2.7229031297073245,Joe,Joe
17.5,-0.3543886690989636,-0.5693161844082433,-0.5067044781990624,-0.6661499879030113,3.743840420732778,3.266641991783156,Joe,Joe
18.0,-0.39197222729880715,-0.5954105414696166,-0.4512228496064714,-0.654438230030485,2.8839028282244072,2.862003761294451,Joe,Joe
18.5,-0.4274310601436755,-0.5514156239177823,-0.3872544875868849,-0.5723137182286048,1.9618734035341672,2.5219789869015212,Joe,Joe
19.0,-0.44905110181436586,-0.5433747726195427,-0.6333567188222166,-0.575367867692756,4.115198056307173,2.6410993295485725,Joe,Joe
19.5,-0.5566750052534042,-0.5819997020605382,-0.6775900772064772,-0.7463803243708202,3.587226445237833,3.932175844910428,Joe,Joe
20.0,-0.6221989048849504,-0.6708327963398381,-0.6387733203714546,-0.7879094539561915,2.6395723854199273,3.3714864961248683,Joe,Joe
20.5,-0.6456450827213092,-0.7407630820816917,-0.7070398986553944,-0.7128356677921768,3.082980319431242,1.8487047206181506,Joe,Joe
21.0,-0.7088202286359085,-0.7264258991888264,-0.7776499098832209,-0.7545686585883888,3.1982868293491276,2.4252346519587373,Joe,Joe
21.5,-0.8434286095566388,-0.8377479588221945,-0.79399762184765,-0.9179474848418965,2.1667048545953196,2.8398295705513394,Joe,Joe
22.0,-0.8903679033546575,-0.819903746468894,-0.7449764066318589,-0.8306423542470125,1.2857795305158275,2.1600847673495895,Joe,Joe
22.5,-0.8737398738423773,-0.8719913649023442,-0.7464272529324232,-0.6833372036459365,1.4462625299843745,0.10880231152743836,Joe,Joe
23.0,-0.8713424005739548,-0.940978977698007,-0.7792743161935467,-0.6506925459049095,1.780263409742545,0.9778426100776962,Joe,Mohammed
23.5,-0.9743936645528337,-0.9284990709863435,-0.8310445772059051,-0.7298566339667585,1.364409696465306,0.046137298035400676,Joe,Mohammed
24.0,-1.0075611080319875,-0.8039527850040832,-0.8643961811919781,-0.7892877303222562,1.3895226836076624,1.9206094628110861,Joe,Joe
24.5,-1.0401749147990287,-0.8659742146871802,-0.8729310852253677,-0.871504910436348,1.183150308411677,2.063219992892213,Joe,Joe
25.0,-0.9759836787498832,-0.9801096582758996,-0.9460720906902158,-0.8648588336545111,2.445973869482243,0.7407060679225426,Joe,Joe
25.5,-1.0673304485042008,-1.0025947821374643,-0.9334780802252731,-0.8547774481642811,1.5203148133780031,0.3921402576755115,Joe,Joe
26.0,-1.0312713843297188,-0.9701328770568768,-0.8509969525835747,-0.7962825213180335,1.0527687984908924,0.16233517563700683,Joe,Joe
26.5,-0.9898765465081544,-0.9806436614572163,-0.838051859641234,-0.8754221731539344,1.2945873595421924,0.840830701671134,Joe,Joe
27.0,-1.0626881077916022,-1.0264820900746847,-0.9241286839091208,-0.9415919948190099,1.4722126173287347,1.000470529906817,Joe,Joe
27.5,-1.1566613816388287,-1.0385568451265053,-0.9281495119454191,-0.8198523983263423,0.6816363266364247,0.3540105224609764,Joe,Mohammed
28.0,-1.2146938923694328,-1.0024427590727958,-0.9628149727726439,-0.7972001036182388,0.49994575728868274,0.18395995913805407,Joe,Mohammed
28.5,-1.294379101560023,-0.9983773820913728,-1.0060873074539038,-0.9171953354422956,0.20924861870714562,1.0648903801568856,Joe,Joe
29.0,-1.2304197173312976,-1.0407242218447466,-0.9415188059526511,-0.9866061084452081,0.15840216405600493,1.295469917794633,Joe,Joe
29.5,-1.2313667203178515,-1.0476577766569906,-0.9391836189384091,-0.9698690983495837,0.12780763634417003,1.0512292959613445,Joe,Joe
30.0,-1.1980410585930084,-1.1752868210468757,-0.9642030662519191,-0.9521944031341711,0.6600498437707598,0.5304227165296052,Joe,Mohammed
