Filter,Frequency (Hz),Joe Z-Score Closed,Joe Z-Score Open,Mohammed Z-Score Closed,Mohammed Z-Score Open,Absolute Delta Closed,Absolute Delta Open,P-Value Closed,P-Value Open,Higher Closed,Higher Open
No Filter,16.5,-0.6082198495978207,-0.6563820950933602,-0.0395892401079324,-0.4326349357627675,43.805162633101176,1.8333053825145242,6.709681220992104e-84,0.06171330761346302,Mohammed,Joe
No Filter,17.0,-0.6745472770675839,-0.6074638324230475,-0.03944285710353433,-0.5854418586402406,44.202078668463614,3.6961553243331906,6.709681220992104e-84,0.06171330761346302,Mohammed,Joe
No Filter,17.5,-0.6497199937981537,-0.5320706725110579,-0.03001599566160211,-0.6408859108983409,44.0596697047044,4.843964180399307,6.709681220992104e-84,0.06171330761346302,Mohammed,Joe
No Filter,18.0,-0.6702972137122607,-0.5110883813167625,-0.0313395834777638,-0.6484560163643276,44.181917999023504,5.088181404554148,6.709681220992104e-84,0.06171330761346302,Mohammed,Joe
No Filter,18.5,-0.6603687546337546,-0.5667780599170364,-0.03580971142440431,-0.6736413523948912,44.11961324117128,4.873308386136797,6.709681220992104e-84,0.06171330761346302,Mohammed,Joe
No Filter,19.0,-0.5615891821909678,-0.5395842574863311,-0.029622247005143054,-0.7824440564158953,43.53266035326195,6.137185841470573,6.709681220992104e-84,0.06171330761346302,Mohammed,Joe
No Filter,19.5,-0.5568910211280154,-0.4274836707155556,-0.020184238556380296,-0.7787176492079573,43.51068628636162,7.0192282926079805,6.709681220992104e-84,0.06171330761346302,Mohammed,Joe
No Filter,20.0,-0.5744403029971804,-0.41206013144240317,-0.018380384570689606,-0.7460174804980262,43.61685172938769,6.832546996374817,6.709681220992104e-84,0.06171330761346302,Mohammed,Joe
No Filter,20.5,-0.5429546226700942,-0.47805020656989133,-0.02708890843101344,-0.8044612848468671,43.422820758049184,6.851638578066672,6.709681220992104e-84,0.06171330761346302,Mohammed,Joe
No Filter,21.0,-0.5787067520038524,-0.44859013675416765,-0.032495479257375934,-0.8750379775373331,43.63320326573174,7.768240441428714,6.709681220992104e-84,0.06171330761346302,Mohammed,Joe
No Filter,21.5,-0.5737972613093568,-0.4817646543990393,-0.03496832287295683,-0.8754453020344402,43.602223839795855,7.5005574073244095,6.709681220992104e-84,0.06171330761346302,Mohammed,Joe
No Filter,22.0,-0.6547010446248882,-0.48226558374450096,-0.03337531552430125,-0.8402734092093482,44.087286854983354,7.159856665867759,6.709681220992104e-84,0.06171330761346302,Mohammed,Joe
No Filter,22.5,-0.6041550305754015,-0.45133790205661045,-0.026068186122640034,-0.8500300971055879,43.789631324860935,7.50641712743046,6.709681220992104e-84,0.06171330761346302,Mohammed,Joe
No Filter,23.0,-0.468829394471602,-0.4405019452350977,-0.02488312109964106,-0.7190403914409622,42.980781081238455,6.341535304463212,6.709681220992104e-84,0.06171330761346302,Mohammed,Joe
No Filter,23.5,-0.449191015733329,-0.4877524266720101,-0.02996615939939756,-0.6688649838575357,42.85998589213293,5.474536450468868,6.709681220992104e-84,0.06171330761346302,Mohammed,Joe
No Filter,24.0,-0.5284317280516593,-0.5092689742454103,-0.03657082557392165,-0.7292901318505823,43.32977137743015,5.876669615718537,6.709681220992104e-84,0.06171330761346302,Mohammed,Joe
No Filter,24.5,-0.488632172669588,-0.4808737044136058,-0.03857218701440652,-0.7743369518746579,43.090359585944945,6.540230120681847,6.709681220992104e-84,0.06171330761346302,Mohammed,Joe
No Filter,25.0,-0.46180191859031006,-0.471465673329252,-0.03333322594302188,-0.8613902281457452,42.93324556045938,7.450360379287039,6.709681220992104e-84,0.06171330761346302,Mohammed,Joe
No Filter,25.5,-0.4352428968337123,-0.5417969281113977,-0.03311023419619069,-0.8699485913098461,42.77449430527461,6.956502534838128,6.709681220992104e-84,0.06171330761346302,Mohammed,Joe
No Filter,26.0,-0.4920283745591466,-0.5923460480517645,-0.03738245345691807,-0.8124807034744723,43.11145146155761,5.992709524024229,6.709681220992104e-84,0.06171330761346302,Mohammed,Joe
No Filter,26.5,-0.47996298142302696,-0.583684029188651,-0.03480390331070672,-0.7951267129682597,43.04094297792371,5.897540512136901,6.709681220992104e-84,0.06171330761346302,Mohammed,Joe
No Filter,27.0,-0.3433386020936653,-0.585937452344967,-0.035881731876402666,-0.7519922341014545,42.22285198342867,5.4662900283106275,6.709681220992104e-84,0.06171330761346302,Mohammed,Joe
No Filter,27.5,-0.38078093987024053,-0.6274050524048055,-0.03471671065290084,-0.7723638869622389,42.447617565232605,5.3217775789603765,6.709681220992104e-84,0.06171330761346302,Mohammed,Joe
No Filter,28.0,-0.3878403396365889,-0.6340460460707288,-0.034259894345660666,-0.8046457068839821,42.49014913166945,5.576352998514222,6.709681220992104e-84,0.06171330761346302,Mohammed,Joe
No Filter,28.5,-0.48493721619002556,-0.6782836597069566,-0.0338428965457989,-0.878756069459024,43.07132718854903,5.923450937720338,6.709681220992104e-84,0.06171330761346302,Mohammed,Joe
No Filter,29.0,-0.4729012885456284,-0.6884936991580157,-0.03443374051265648,-0.9101288884036443,42.998935157355376,6.140109313412025,6.709681220992104e-84,0.06171330761346302,Mohammed,Joe
